Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,creditType ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
T3,FAE,,,6DM,GNE Oceanside Prod Ops ,Total Global FAC,,Global Bucket ,,,,,,,,,,,,,,,,,,"$3,581k",,"$2,256k","$3,325k","$1,469k","$1,616k","$1,777k","$1,955k","$12,398k","$14,023k",#REF!,"$2,282k","$3,325k","$1,469k","$1,616k","$1,777k","$1,955k","$18,941k",#REF!,,
T3,FAC,,,90024,NIMO Small Projects - Misc ,Total Global FAE,,Global Bucket ,,,,,,,,,,,,,,,,,,"$14,427k",,"$3,845k","$1,791k","$3,467k","$3,814k","$4,195k","$4,615k","$21,726k","$31,539k",#REF!,"$3,878k","$1,791k","$3,467k","$3,814k","$4,195k","$4,615k","$51,028k",#REF!,,
T3,,1235,Y160,64899,Engineering Library TOP Storage Unit,,6/01/15 Changed to Exec. Mel working with CRB on the estimate. ,Global,QSP,Improvements and Efficiencies,Fit for Purpose,,Installation of a new vertical carousel system to store apporved project Turn Over Package (TOPs). Existing TOP storage capacity will be depleted by the end of 2015. ,Execute,Zaymar Sedra,Tucker Creighton,Mel Davis ,Jeff Walcher,$85k,$82k,$3k,N/A,N/A,N/A,0.05,$67k,,$4k,,,,,,$4k,$71k,#REF!,$4k,,,,,,$71k,#REF!,,
T3,,1586,Y160,64901,MCS Peripheral Asset Replacement - 2015,,6/08/15 CA Appr. 6/05/15 CA submitted. 6/01/15 CA issued. 5/07/15 Appr by PMT. 5/04/15 Project budgeted as expense but has been reclassified as capital. Repalcing 45 carts for mobile HMI (capital >$5k) and ipad cases with scanners (expense <$5k). ,Global,QSP,Stay in Business,Reliability and Value,,"Resolves OSHA Regulatory Agency finding which required OCN to cease use of HMIs. The improvement of the HMI platform will also give operators access to Syncade, Doclink, and DeltaV on four windows displayed on two screens.",Execute,Scott Fields,Matt Hunt,Alister Hufton,Matt Hunt,$325k,$225k,$100k,0,0.9,0,2.39,$223k,,$43k,,,,,,$43k,$266k,#REF!,$43k,,,,,,$266k,#REF!,,
T3,,583,Y160,64914,QC M9 TOC Analyzers,Asset Replacement ,7/14/15 CA Appr. 7/09/15 Changed to CA Submitted. ,Global,QSP,New Technologies,Launch and Commercial Excellence,,"There is a global effort to harmonize all GNE/Roche sites to use the same GE model for the TOC assay testing.The intent of this project is to replace the existing TOC analyzers in the lab which are at the end of their lifecycle and purchase the recommended GNE/Roche model. Scope of work includes: Purchase two TOC analyzers, qualification, GMP release and turnover package for each.",Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$106k,$106k,,N/A,N/A,N/A,,$87k,,$17k,,,,,,$17k,$105k,#REF!,$17k,,,,,,$105k,#REF!,,
,,583,Y160,64923,QC Met-One Air Sampler Replacement 2015,Originally submitted as QC Lab Equipment Replacement 2016,8/10/15 CA Appr. 7/31/15 CA Submited. 7/15/15 CA Routing. 7/08/15 SS submitted. ,Global,QSP,Stay in Business,Launch and Commercial Excellence,,QC equipment that has reached the end of life cycle and needs replacement. Equipment in ARR. ,Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$65k,$62k,$3k,N/A,N/A,N/A,0.02,$44k,,$16k,,,,,,$16k,$60k,#REF!,$16k,,,,,,$60k,#REF!,,
,,583,Y160,64925,QC UV Vis Spectometer Replacement 2015,Originally submitted as QC Lab Equipment Replacement 2018,8/10/15 CA Appr. 7/31/15 CA Submited. 7/15/15 CA Routing. 7/08/15 SS submitted. ,Global,QSP,Stay in Business,Fit for Purpose,,QC equipment that has reached the end of life cycle and needs replacement. Equipment in ARR. ,Execute,Zaymar Sedra,N/A,N/A,Siu Fai Tsang,$27k,$27k,$k,N/A,N/A,N/A,0.07,$k,,$22k,,,,,,$22k,$22k,#REF!,$22k,,,,,,$22k,#REF!,,
,,583,Y160,64927,QC Gel Imager Replacement 2015,Originally submitted as QC Lab Equipment Replacement 2020,8/10/15 CA Appr. 7/31/15 CA Submited. 7/15/15 CA Routing. 7/08/15 SS submitted. ,Global,QSP,Stay in Business,Launch and Commercial Excellence,,QC equipment that has reached the end of life cycle and needs replacement. Equipment in ARR. ,Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$15k,$15k,$k,N/A,N/A,N/A,0.42,$12k,,$1k,,,,,,$1k,$13k,#REF!,$1k,,,,,,$13k,#REF!,,
T3,,1275,G160,73356,Supplemental BDU Sampling,"6/13/14 Needs to come back to jPMT before resolving some issues. Network Portfolio Key Site Project. ""Green Planning"" approved at IMPACT $1,782,500 ... $350,500 for PI phase, will return to IMPACT in Feb 2014 for final funding request. Per CAPA 746996 and recent regulatory commitments to the EMA, additional testing of the Actemra drug substance is required at the end of the dispensing operation to ensure product homogeneity.  Furthermore, a separate sample of the drug substance is required by Chugai for the QC testing in Japan.  Optimization of the sample volumes is critical so as to mitigate the impact to the inventoried bulk yield and drug substance supply. CAPA 746966
","9/22/14 Approved WBS for Phase II. 8/22/14 Changed budget according to appr CA. 7/22/14 Apprd by IMPACT CA2 $2,304 CAP $2,292 $12.5 EXP Total Project $2,690,092.  7/17/14 Appr at jPMT. 7/11/14 According to Deidre's input, this project will be executed and we will keep the same budget. 6/11/14 - Changed to Exec. JN",Individual,CTT,Stay in Business,Launch and Commercial Excellence,,CAPA 746996. Investigation 724033 determined that dilution occurs in the Actemra SC die to the presence of residual buffer in the transfer line which entered the conditioning vessel prior to the dispensing operation. These additional controls were also requested by the EMA health authority. Also Chugai requires a separate sample for release of the product in Japan.,Execute 2,Jim Neeleman,Greg Crecely,Mel Davis ,Paul Crowley,"$2,678k","$2,690k",-$12k,3.3,3,19.5,0.17,"$1,679k",,$158k,,,,,,$158k,"$1,837k",#REF!,$158k,,,,,,"$1,837k",#REF!,,
T3,,1275,L160,73367,FS & DS Automation Integration,"Maria's email these two projects Functional Specification Development (P36) - $280k and PCS Automation Documentation project (73367) - $650k
are capitalized, and both projects are combined into one project - titled FS & DS automation integration. ","12/16/14 Changed to Execure 2. 11/22/14 CA Submited. 11/18/14 CA issued. 11/04/14 Appr by IMPACT for Phase 2 on the PCS Autom. Doc. . 10/30/14 Appr by jPMT Phase 2 for PCS Automation Documentation portion. Total project $612,547.",Individual,CTT,Tech Transfers,Fit for Purpose,,Compliance risk. Strategy for P2 Project Readiness. Reduce number of validation deviations for DDS error. ,Execute 2,Zaymar Sedra,John Urban,Mel Davis ,Pat Sraubol / Ravi M.,$888k,$888k,,3.9,2.8,24.4,,$723k,,$27k,,,,,,$27k,$750k,#REF!,$27k,,,,,,$750k,#REF!,,
T3,,1198,G160,73384,Caustic Bath Upgrade,"Project reviewed and treated as pull-in. This project was present along the Optimize Column Movement Device, but was requested to be submit by itself. ",11/7/14 WBS received. 10/31/14 CA Submitted. 10/22/14 CA on Hold as it needs to be prioritized for 2015 budget.,Global,QSP,Stay in Business,Highly Capable Workforce,,"The increased run rates, and the column packing activities require a safer, more reliable method for out of place cleaning. A safety job hazard assessment was performed comparing a score of 60 (high risk priority) for the current operation, to a score of 16 (low risk priority) for the proposed solution. 
It is the right thing to do for our employees.",Execute,Melanie Yevilov,Juan Pacio,N/A,Bahar Dahi / Juan Pacio,$34k,$34k,,2,0.8,16.5,0.05,$1k,,$.5k,,,,,,$.5k,$2k,#REF!,$k,,,,,,$2k,#REF!,,
,,1586,G160,73387,MCSBACKUP Phase 2 Tape Retrieval,,11/27/14 WBS received. 11/11/14 CA submitted. ,Global,QSP,New Technologies,Reliability and Value,A2 Business Efficiency,Phase 2 for the MCSBACKUP deployment. Need to ensure data can be retrieved and stored per GMP requirement. ,Execute,Scott Fields,John Urban,Mel Davis ,Myles Sumlin,$64k,$60k,$4k,N/A,N/A,N/A,25.97,$46k,,,,,,,,,$46k,#REF!,,,,,,,$46k,#REF!,,
,,659,G160,73388,SIMCA Online Real Time Process Monitoring System,,12/10/14 WBS received. 12/02/14 CA Submitted. 11/20/14 CA issued. 11/18/14 Appr by IMPACT. 11/13/14 Appr by jPMT. ,Global,QSP,New Technologies,Launch and Commercial Excellence,,"As we have run rates have increased we have seen more issues occur due to operational equipment issues.  Discrepancies have also increased (i.e. Post DBX actemra campaign.) Can contribute to sight goal of investigation free lots. SIMCA is expected to improve process monitoring in real time, decrease discrepancies and investigations, potential save batches. ",Execute,Jim Neeleman,John Urban,Mel Davis ,Michael Villacorta,$321k,$299k,$22k,1.2,2.5,7.8,,$263k,,,,,,,,,$263k,#REF!,,,,,,,$263k,#REF!,,
T3,,1586,G160,73398,MCS Manufacturing Area Wireless Access Point Asset Replacement - 2015,Asset Replacement. Repalcing 49 units and adding 15 new ones. ,7/14/15 CA Appr. 7/09/15 Changed to CA Submitted. 6/12/15 Changed to CA Routing. 6/04/15 Changed to Appr PMT. 11/12/14 SS submitted. 10/16/14 P-scored at jPMT.,Global,QSP,Stay in Business,Reliability and Value,,"Improve current wireless access points in ""dead spots"" within the MFG to satisfy new user requirements and improve network performance. Current system is not reliable and puts in risk operations for lack of control in the system due to connectivity  failure. ",Execute,Scott Fields,Tucker Creighton,Mel Davis ,Shane Smith,$274k,$274k,$k,1.4,2,10.5,1.82,$13k,,$216k,,,,,,$216k,$229k,#REF!,$216k,,,,,,$229k,#REF!,,
T3,,1359,G161,73399,Frit Handling and Storage,"04/29/16 Total reflects approved CA amount, in addition to $60k for design change. 03/04/15 It has been moved to above the line and need to come to IMPACT for approval. Below the line. Budget $113k 2015. This project was presented along the Optimize Column Movement Device, but was requested to be submitted by itself. ","7/21/15 CA Appr. 7/15/15 CA Submitted. 07/13/15 CA Routing. 07/7/15 Changed to IMPACT Appr. 06/18/15 Changed to PMT Appr. 05/07/15 Per Juan, this project is deffered for bandwith reasons and vendor shop load. 03/04/15 Changed to FXNL Appr per Dave email. 12/18/14 Changed to on Hold. 10/22/14 CA on Hold as it needs to be prioritized for 2015 budget.",Global,QSP,SHE and K-Directives,Highly Capable Workforce,A2 Business Efficiency,"The current system has some inefficiency: a) the storage does not segregate the frits based on product b) the frit handling requires four people, and c) there is not enough space inside column packing. On the contrary, the new handling and storage methods greatly reduce footprint, increase frit protection, eliminates risk for injury and personnel needed for frit replacement.",Execute,Melanie Yevilov,John Urban,Mel Davis,Bahar Dahi / Juan Pacio,$154k,$154k,,1.4,0.6,11.3,0.18,$19k,,$135k,,,,,,$135k,$154k,#REF!,$135k,,,,,,$154k,#REF!,,
T3,,,G160,73406,Guided Wave Radar V-4045 & V-4055,,8/10/15 CA Appr. 8/6/15 CA Submitted. 7/23/15 CA Routing. 7/16/15 PMT Appr. 7/15/15 Revised SS submitted to include V-4055 on the scope. 6/4/15 SS submitted. ,Global,QSP,New Technologies,Reliability and Value,,"Ongoing issue which can directly impact product quality and yield. To mitigate the issue the load cells are not being used anymore, instead V-4040 load cells and the BDU are used to estimate weight. Provides more robust process with less external influence and less human intervention. ",Execute,Scott Fields,John Urban,Alister Hufton,Juan Pacio / Tammy Price,$61k,$61k,,1.5,1,12,,$32k,,$17k,,,,,,$17k,$49k,#REF!,$17k,,,,,,$49k,#REF!,,
