Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,Credit Type ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2015,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
MO5,FAE,,,6DM,GNE Oceanside Prod Ops ,Total Global FAC,,Global Bucket ,,,,,,,,,,,,,,,,,,,,"$3,581k",,"$3,179k","$3,325k","$3,658k","$4,024k","$4,426k","$4,426k","$23,037k","$22,192k",#REF!,$786k,"$3,613k","$3,325k","$3,658k","$4,024k","$4,426k","$1,385k","$26,183k",#REF!
MO5,FAC,,,90024,NIMO Small Projects - Misc ,Total Global FAE,,Global Bucket ,,,,,,,,,,,,,,,,,,,,"$14,427k",,"$2,402k","$1,791k","$1,970k","$2,167k","$2,383k","$2,383k","$13,095k","$25,139k",#REF!,"$9,766k","$2,331k","$1,791k","$1,970k","$2,167k","$2,383k","$5,979k","$46,792k",#REF!
MO5,,,Y160,64899,Engineering Library TOP Storage Unit,,6/01/15 Changed to Exec. Mel working with CRB on the estimate. ,Global,QSP,Improvements and Efficiencies,Reliable,,Installation of a new vertical carousel system to store apporved project Turn Over Package (TOPs). Existing TOP storage capacity will be depleted by the end of 2015. ,Execute,Jim Neeleman,Tucker Creighton,Mel Davis ,Jeff Walcher,$85k,$82k,$3k,,No,N/A,N/A,N/A,0.05,,,$4k,,,,,,$4k,$4k,#REF!,$67k,$4k,,,,,,$71k,#REF!
MO5,,,Y160,64901,MCS Peripheral Asset Replacement - 2015,,6/08/15 CA Appr. 6/05/15 CA submitted. 6/01/15 CA issued. 5/07/15 Appr by PMT. 5/04/15 Project budgeted as expense but has been reclassified as capital. Repalcing 45 carts for mobile HMI (capital >$5k) and ipad cases with scanners (expense <$5k). ,Global,QSP,Stay in Business,Reliability and Value,,"Resolves OSHA Regulatory Agency finding which required OCN to cease use of HMIs. The improvement of the HMI platform will also give operators access to Syncade, Doclink, and DeltaV on four windows displayed on two screens.",Execute,Scott Fields,N/A,Alister Hufton,Matt Hunt,$325k,$225k,$100k,,,0,0.9,0,0.05,,,$100k,,,,,,$100k,$100k,#REF!,$223k,$43k,,,,,,$266k,#REF!
MO5,,583,Y160,64914,QC M9 TOC Analyzers,Asset Replacement ,7/14/15 CA Appr. 7/09/15 Changed to CA Submitted. ,Global,QSP,New Technologies,Launch and Commercial Excellence,,"There is a global effort to harmonize all GNE/Roche sites to use the same GE model for the TOC assay testing.The intent of this project is to replace the existing TOC analyzers in the lab which are at the end of their lifecycle and purchase the recommended GNE/Roche model. Scope of work includes: Purchase two TOC analyzers, qualification, GMP release and turnover package for each.",Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$106k,$106k,,,,N/A,N/A,N/A,,,,$19k,,,,,,$19k,$19k,#REF!,$87k,$17k,,,,,,$105k,#REF!
,,583,Y160,64923,QC Met-One Air Sampler Replacement 2015,Originally submitted as QC Lab Equipment Replacement 2016,8/10/15 CA Appr. 7/31/15 CA Submited. 7/15/15 CA Routing. 7/08/15 SS submitted. ,Global,QSP,Stay in Business,Launch and Commercial Excellence,,QC equipment that has reached the end of life cycle and needs replacement. Equipment in ARR. ,Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$68k,$65k,$3k,,,N/A,N/A,N/A,,,,$16k,,,,,,$16k,$16k,#REF!,$44k,$16k,,,,,,$60k,#REF!
,,583,Y160,64925,QC UV Vis Spectometer Replacement 2015,Originally submitted as QC Lab Equipment Replacement 2018,8/10/15 CA Appr. 7/31/15 CA Submited. 7/15/15 CA Routing. 7/08/15 SS submitted. ,Global,QSP,Stay in Business,Reliable,,QC equipment that has reached the end of life cycle and needs replacement. Equipment in ARR. ,Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$28k,$28k,,,,N/A,N/A,N/A,,,,$22k,,,,,,$22k,$22k,#REF!,,$22k,,,,,,$22k,#REF!
,,583,Y160,64927,QC Gel Imager Replacement 2015,Originally submitted as QC Lab Equipment Replacement 2020,8/10/15 CA Appr. 7/31/15 CA Submited. 7/15/15 CA Routing. 7/08/15 SS submitted. ,Global,QSP,Stay in Business,Launch and Commercial Excellence,,QC equipment that has reached the end of life cycle and needs replacement. Equipment in ARR. ,Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$16k,$16k,,,,N/A,N/A,N/A,,,,$3k,,,,,,$3k,$3k,#REF!,$12k,$1k,,,,,,$13k,#REF!
MO5,,1275,G160,73356,Supplemental BDU Sampling,"6/13/14 Needs to come back to jPMT before resolving some issues. Network Portfolio Key Site Project. ""Green Planning"" approved at IMPACT $1,782,500 ... $350,500 for PI phase, will return to IMPACT in Feb 2014 for final funding request. Per CAPA 746996 and recent regulatory commitments to the EMA, additional testing of the Actemra drug substance is required at the end of the dispensing operation to ensure product homogeneity.  Furthermore, a separate sample of the drug substance is required by Chugai for the QC testing in Japan.  Optimization of the sample volumes is critical so as to mitigate the impact to the inventoried bulk yield and drug substance supply. CAPA 746966
","9/22/14 Approved WBS for Phase II. 8/22/14 Changed budget according to appr CA. 7/22/14 Apprd by IMPACT CA2 $2,304 CAP $2,292 $12.5 EXP Total Project $2,690,092.  7/17/14 Appr at jPMT. 7/11/14 According to Deidre's input, this project will be executed and we will keep the same budget. 6/11/14 - Changed to Exec. JN",Individual,CTT,Stay in Business,Launch and Commercial Excellence,,CAPA 746996. Investigation 724033 determined that dilution occurs in the Actemra SC die to the presence of residual buffer in the transfer line which entered the conditioning vessel prior to the dispensing operation. These additional controls were also requested by the EMA health authority. Also Chugai requires a separate sample for release of the product in Japan.,Execute 2,Jim Neeleman,Greg Crecely,Mel Davis ,Paul Crowley,$386k,$355k,$31k,Yes,Yes,3.3,3,19.5,,,,$158k,,,,,,$158k,$158k,#REF!,"$1,421k",$158k,,,,,,"$1,837k",#REF!
MO5,,1275,L160,73367,FS & DS Automation Integration,"Maria's email these two projects Functional Specification Development (P36) - $280k and PCS Automation Documentation project (73367) - $650k
are capitalized, and both projects are combined into one project - titled FS & DS automation integration. ","12/16/14 Changed to Execure 2. 11/22/14 CA Submited. 11/18/14 CA issued. 11/04/14 Appr by IMPACT for Phase 2 on the PCS Autom. Doc. . 10/30/14 Appr by jPMT Phase 2 for PCS Automation Documentation portion. Total project $612,547.",Individual,CTT,Tech Transfers,Fit for Purpose,,Compliance risk. Strategy for P2 Project Readiness. Reduce number of validation deviations for DDS error. ,Execute 2,Zaymar Sedra ,John Urban,Mel Davis ,Pat  Sraubol / Ravi M.,$325k,$325k,,Yes,Yes ,3.9,2.8,24.4,,,,$27k,,,,,,$27k,$27k,#REF!,$477k,$27k,,,,,,$750k,#REF!
MO5,,1198,G160,73384,Caustic Bath Upgrade,"Project reviewed and treated as pull-in. This project was present along the Optimize Column Movement Device, but was requested to be submit by itself. ",11/7/14 WBS received. 10/31/14 CA Submitted. 10/22/14 CA on Hold as it needs to be prioritized for 2015 budget.,Global,QSP,Stay in Business,Highly Capable Workforce,,"The increased run rates, and the column packing activities require a safer, more reliable method for out of place cleaning. A safety job hazard assessment was performed comparing a score of 60 (high risk priority) for the current operation, to a score of 16 (low risk priority) for the proposed solution. 
It is the right thing to do for our employees.",Execute,Melanie Yevilov,N/A,N/A,Bahar Dahi / Juan Pacio,$34k,$34k,,,No,2,0.8,16.5,,,,$12k,,,,,,$12k,$12k,#REF!,$1k,$k,,,,,,$2k,#REF!
MO5,,1586,G160,73387,MCSBACKUP Phase 2 Tape Retrieval,,11/27/14 WBS received. 11/11/14 CA submitted. ,Global,QSP,New Technologies,Reliability and Value,A2 Business Efficiency,Phase 2 for the MCSBACKUP deployment. Need to ensure data can be retrieved and stored per GMP requirement. ,Execute,Deidre Dunham,John Urban,Mel Davis ,Myles Sumlin,$64k,$60k,$4k,,No,N/A,N/A,N/A,0.01,,,$5k,,,,,,$5k,$5k,#REF!,$42k,,,,,,,$46k,#REF!
