projectIndicator,projectNo,program,r_t3_jan_2015,r_t3_feb_2015,r_t3_mar_2015,r_t3_apr_2015,r_t3_may_2015,r_t3_jun_2015,r_t3_jul_2015,r_t3_aug_2015,r_t3_sep_2015,r_t3_oct_2015,r_t3_nov_2015,r_t3_dec_2015,Roche,e_t3_jan_2015,e_t3_feb_2015,e_t3_mar_2015,e_t3_apr_2015,e_t3_may_2015,e_t3_jun_2015,e_t3_jul_2015,e_t3_aug_2015,e_t3_sep_2015,e_t3_oct_2015,e_t3_nov_2015,e_t3_dec_2015,External,Total,r_curr_jan_2015,r_curr_feb_2015,r_curr_mar_2015,r_curr_apr_2015,r_curr_may_2015,r_curr_jun_2015,r_curr_jul_2015,r_curr_aug_2015,r_curr_sep_2015,r_curr_oct_2015,r_curr_nov_2015,r_curr_dec_2015,Roche,e_curr_jan_2015,e_curr_feb_2015,e_curr_mar_2015,e_curr_apr_2015,e_curr_may_2015,e_curr_jun_2015,e_curr_jul_2015,e_curr_aug_2015,e_curr_sep_2015,e_curr_oct_2015,e_curr_nov_2015,e_curr_dec_2015,External
,74119,Fit for Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74127,Launch Facility,0.8,0.86,0.81,0.72,0.72,0.12,0,0,0,0,0,0,0.34,6.91,6.5,6.03,5.59,2.49,1.81,1.2,0,0,0,0,0,2.54,2.88,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74268,Fit for Purpose,0,0,0,0,0,0,0,0,0,0.64,0.93,0.91,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74278,Fit for Purpose,2.68,2.68,2.68,2.68,2.41,2.48,4.11,5.13,6.19,5.99,6.27,5.78,4.09,3.31,3.31,3.31,3.31,6.61,8.93,10.03,10.03,11.13,11.54,11.16,11.97,7.88,11.97,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74279,Reliability and Value,0.26,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.03,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.05,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74302,Reliability and Value,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74382,Launch and Commercial Excellence,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74406,Reliability and Value,0,0,0,0,0,0,0.79,0.52,0.14,0.06,0.06,0.06,0.14,0,0,0,0,0,0,0.41,0.41,1.1,5.48,5.48,5.48,1.53,1.67,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74409,Fit for Purpose,0,0,0,0,0,0.08,0.14,0.13,0.12,0.06,0.12,0.18,0.07,0,0,0,0,0,0.31,0.61,0.73,0.87,0.94,0.94,0.28,0.39,0.46,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74418,Launch and Commercial Excellence,0,0,0,0,0,0,0.07,0.07,0.12,0.8,0.07,0.07,0.1,0,0,0,0,0.61,0.61,0.61,0.61,1.67,2.43,1.43,0.61,0.72,0.82,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74428,Launch and Commercial Excellence,0,0,0,0,0,0,0,0,0.48,0.48,0.48,0.48,0.16,0,0,0,0,0,0,1.59,1.59,1.59,1.59,1.59,1.59,0.79,0.95,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Gllobal,74429,Reliability and Value,0,0,0,0,0,0,0.68,0.67,0.26,0.13,0.12,0.12,0.16,,,,,,,,,,,,,0,0.16,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74435,Fit for Purpose,0,0,0,0,0,0,0,0,0,0.19,0.39,0.5,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74454,Fit for Purpose,0.49,0.49,0.49,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.53,0.5,0.44,0.46,0.48,0.5,0.67,0.72,0.72,0.72,0.98,1.15,1.2,1.24,0.77,1.27,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74486,Highly Capable Workforce,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74487,Highly Capable Workforce,7.27,7.27,7.27,9.77,9.77,9.77,11.93,11.93,11.93,15.06,15.07,15.07,11.01,,,,,,,,,,,,,,11.01,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Global,74491,Launch and Commercial Excellence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0,0,0,0,0.01,0.01,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Individual Project,74511,Reliability and Value,0,0,0,0,0,0,0.79,0.52,0.14,0.06,0.06,0.06,0.14,0,0,0,0,0,0,0.41,0.41,1.1,5.48,5.48,5.48,1.53,1.67,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,74524,Reliability and Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
