,Buckets,Responsible,PD Rep,PM,Project Indicator,projectNo,Project Name,Capital,Expense ,Total,Project Total,,Capital,Expense ,Total,Project Total,Cap Delta,Exp Delta,,Capital,Expense ,Total,Project Total,type,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,2016 TOTAL,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,2017 Total,2018 Total,2019 Total,2020 Total, Check 
,No Control,PTAA,,Paul,Individual Project,74268,P2 Downstream Processing Expansion,"$104,650,502 ","$825,644 ","$105,476,146 ","$194,047,008 ",,"$92,403,605 ","$1,248,192 ","$93,651,797 ",x,"($12,246,897)","$422,548 ",,"$33,364,074 ","$916,061 ","$34,280,135 ",,C,"-3,392,560","10,208,914","4,757,774","15,250,626","6,223,908","6,480,364","14,566,326","8,319,912","8,905,413","7,179,408","7,932,229","5,430,292","91,862,606","$6,311,789 ","$5,695,911 ","$4,805,255 ","$4,001,121 ","$3,577,524 ","$2,923,968 ","$2,803,682 ","$2,279,040 ","$389,517 ","$144,067 ","$144,067 ","$288,134 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,364,075", -   , -   , -   , -   
,,,,Paul,,, ,,,,,,,,,,, ,,,,,,E,"97,277","110,723","132,016","151,188","394,162","278,256","125,841","123,161","102,088","85,737","102,602","63,820","1,766,871","$145,618 ","$143,505 ","$142,449 ","$116,026 ","$114,969 ","$109,969 ","$106,969 ","$36,555 ",  $             -   ,  $             -   ,  $             -   ,  $             -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"916,060", -   , -   , -   , -   
,No Control,PTAA,,Paul,Individual Project,74455,3rd HCCF Vessel,"$2,328,891 ","$27,591 ","$2,356,482 ","$3,713,805 ",,"$2,027,438 ","$43,784 ","$2,071,222 ",x,"($301,453)","$16,193 ",,"$113,412 ",$464 ,"$113,876 ",,C,"-140,644","4,147","39,589","180,313","-109,886","11,976","379,556","314,459","250,667","184,543","363,229","191,733","1,669,681","848,963","869,364","780,746","750,252","745,479","713,782","651,389","650,075","475,968","469,741","241,646","39,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,236,886", -   , -   , -   ,0.09
,,,,Paul,,,,,,,,,, ,,,, ,,,,,,E,"2,585","5,633","5,633","3,248","-22,732","3,699","8,113","7,180","6,225","5,283","6,254","3,687","34,808","48,349",786,746,706,667,  $                 -   ,  $                 -   ,  $                 -   ,  $             -   ,  $             -   ,  $             -   ,  $             -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,254", -   , -   , -   ,0.27
,No Control,PTAA,,Paul,Individual Project,74454,Seed Lab (20L Bioreactor),"$938,961 ","$10,802 ","$949,763 ","$1,899,375 ",,"$954,867 ","$141,531 ","$1,096,398 ",x,"$15,906 ","$130,729 ",,"$352,550 ","$2,075 ","$354,625 ",,C,"-109,860",  $                   -   ,  $                 -   ,"110,270","-89,767","89,694","166,245","147,661","141,168","118,627","149,392","189,440","912,870","203,896","140,861","41,287","35,849","7,079","1,437","1,392","1,379","1,379","1,048","1,048","2,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"438,751", -   , -   , -   , -   
,,,,Paul,,,,,,,,,, ,,,, ,,,,,,E,"1,012","2,206","2,206","1,271","-8,901",  $                   -   ,"26,310","21,746","17,074","12,470","17,218","4,711","97,323",943,566,377,189,  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $             -   ,  $             -   ,  $             -   ,  $             -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,075", -   , -   , -   , -   
,No Control,PTAA,,Paul,Individual Project,74453,NPI Pool Tanks,"$452,919 ","$10,802 ","$463,721 ","$1,009,121 ",,"$684,545 ","$2,883 ","$687,428 ",x,"$231,626 ","($7,919)",,"$3,878 ",$0 ,"$3,878 ",,C,  $                   -   ,"320,631","101,228","3,344","163,844","-200,449","51,164","42,256","33,138","24,153","33,419","29,043","601,771","21,763","14,684",705,353,  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $             -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,505", -   , -   , -   , -   
,,,,Paul,,,,,,,,,, ,,,, ,,,,,,E,  $                   -   ,  $                   -   ,  $                 -   ,365,"19,040","-19,040",903,395,295,197,298,30,"2,483",  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $                 -   ,  $             -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-1
x,Control,CRBB,,Robin/CRBB,Individual Project,74382,Sci&Eng Lab Mods and Equipment,"$7,008,000 ","$393,000 ","$7,401,000 ","$12,673,000 ",,"$6,232,183 ","$458,026 ","$6,690,210 ",x,"($775,817)","$65,026 ",,"$390,885 ",$0 ,"$390,885 ",,C,"390,587.31","831,694.98","373,097.50","986,762.58","541,738.89","50,557.95","1,288,764.24","1,648,171.55","202,152.08","135,162.65","135,542.11","830,653.34","7,414,885", -   ,"32,053","106,564","93,294","73,899","79,407","5,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"390,885", -   , -   , -   ,0
,,,,Robin/CRBB,,,,,,,,,,,,,, ,, ,,,,E,"1,436.83","20,267.65","3,321.89","1,921.03","5,022.36","46,590.00","66,778.00","30,000.00","10,000.00","10,000.00",,,"195,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
